名前,ふりがな,アドレス,性別,年齢,誕生日,婚姻,血液型,都道府県,電話番号,携帯,キャリア,カレーの食べ方
志賀 あさみ,しが あさみ,shiga_asami@example.com,女,75,1943/1/16,既婚,AB型,愛媛県,058-472-8959,090-4700-8165,ドコモ,別盛り・ルー攻め派
福永 三郎,ふくなが さぶろう,fukunaga_saburou@example.com,男,59,1959/5/14,未婚,A型,福井県,035-257- 310,090-6213-6821,ドコモ,左ルー・せき止め派
安 瞳,やす ひとみ,yasu_hitomi@example.com,女,38,1980/6/15,既婚,A型,神奈川県,057-826-3475,080-6241-4251,ドコモ,ぶっかけ・別口派
西原 さやか,にしはら さやか,nishihara_sayaka@example.com,女,48,1969/12/1,既婚,O型,熊本県,043-555-2532,080-9285-6271,ドコモ,左ルー・ルー攻め派
相原 花緑,あいはら かろく,aihara_karoku@example.com,男,78,1940/4/4,既婚,B型,愛媛県,030- 94- 682,080-3706-3328,au,別盛り・ルー攻め派
平 ジョージ,たいら じょーじ,taira_george@example.com,男,74,1944/4/28,既婚,B型,熊本県,012-571- 430,080-6757-2225,au,左ルー・混ぜ混ぜ派
山口 あき,やまぐち あき,yamaguchi_aki@example.com,女,62,1956/10/3,既婚,B型,東京都,079-958- 261,080-9464-6592,au,左ルー・混ぜ混ぜ派
菅野 人志,すがの ひとし,sugano_hitoshi@example.com,男,71,1947/3/20,既婚,O型,愛知県,076-804-1527,090-3001-3927,ソフトバンク,左ルー・混ぜ混ぜ派
堀 圭,ほり けい,hori_kei@example.com,男,76,1942/5/29,既婚,AB型,東京都,029-555- 786,080-3867-9423,ドコモ,左ルー・せき止め派
紺野 美咲,こんの みさき,konnno_misaki@example.com,女,67,1951/5/12,既婚,AB型,茨城県,085-926-9819,090-1085-9447,ドコモ,ぶっかけ・ルー攻め派
大高 和香,おおだか わか,oodaka_waka@example.com,女,34,1984/10/2,既婚,B型,愛知県,0 6-966-1836,080-8196-9300,ドコモ,左ルー・混ぜ混ぜ派
田上 みあ,たうえ みあ,taue_mia@example.com,女,51,1967/6/18,既婚,B型,東京都,070- 57-6623,080- 407-8655,ドコモ,奥ルー・せき止め派
大谷 進,おおたに すすむ,ootani_susumu@example.com,男,26,1992/3/31,未婚,O型,北海道,038-497-6658,080-7698-1051,ソフトバンク,右ルー・せき止め派
北原 あさみ,きたはら あさみ,kitahara_asami@example.com,女,51,1966/12/20,未婚,A型,三重県,095-421-1075,080-1974-3258,au,ぶっかけ・別口派
片平 那奈,かたひら なな,katahira_nana@example.com,女,53,1964/11/30,既婚,B型,群馬県,098-838-6607,080-6260-9515,ドコモ,右ルー・ルー攻め派
永井 美佳,ながい みか,nagai_mika@example.com,女,42,1976/8/11,既婚,A型,東京都,072-793-9376,090-7439-8326,ドコモ,右ルー・せき止め派
野上 京子,のがみ きょうこ,nogami_kyouko@example.com,女,50,1968/8/25,既婚,AB型,愛知県,025-552-7825,090- 723-1530,au,左ルー・せき止め派
沖田 光臣,おきた みつおみ,okita_mitsuomi@example.com,男,25,1993/8/14,未婚,O型,茨城県,067-290-7919,090-6898-1445,ソフトバンク,別盛り・せき止め派
前島 恵梨香,まえじま えりか,maejima_erika@example.com,女,48,1970/4/27,既婚,O型,愛知県,0 1-735-7243,080-5120-7524,ドコモ,手前ルー・別口派
松永 賢二,まつなが けんじ,matsunaga_kenji@example.com,男,65,1953/2/24,既婚,B型,福岡県,015-809-1100,080-9128-4901,ドコモ,ぶっかけ・せき止め派
堀口 和之,ほりぐち かずゆき,horiguchi_kazuyuki@example.com,男,59,1959/4/18,既婚,A型,北海道,078-879-6574,090-6482-8641,au,左ルー・せき止め派
矢部 優一,やべ ゆういち,yabe_yuuichi@example.com,男,32,1986/8/3,既婚,O型,兵庫県,019-476-7937,090-4301-7152,ドコモ,ぶっかけ・混ぜ混ぜ派
長澤 華子,ながさわ はなこ,nagasawa_hanako@example.com,女,43,1975/5/14,既婚,A型,福岡県,015-838-9126,080-2444-1859,ドコモ,左ルー・ルー攻め派
小川 雅彦,おがわ まさひこ,ogawa_masahiko@example.com,男,39,1979/5/22,既婚,AB型,長崎県,018-799-3957,080-8991-8151,ドコモ,手前ルー・混ぜ混ぜ派
小寺 浩介,こでら こうすけ,kodera_kousuke@example.com,男,79,1939/1/3,既婚,AB型,岩手県,042-841-8793,090-8159-8046,ドコモ,左ルー・ルー攻め派
高木 恵子,たかぎ けいこ,takagi_keiko@example.com,女,57,1961/4/7,既婚,A型,栃木県,027-619-1122,090-6996-9679,ドコモ,左ルー・混ぜ混ぜ派
江藤 サダヲ,えとう さだお,etou_sadawo@example.com,男,25,1993/8/3,未婚,O型,佐賀県,031-188-7917,090-2629-3257,au,ぶっかけ・せき止め派
田川 秀樹,たがわ ひでき,tagawa_hideki@example.com,男,69,1949/9/30,既婚,B型,東京都,060-359-3705,090-5717-7799,ドコモ,ぶっかけ・ルー攻め派
新村 聡,にいむら さとし,niimura_satoshi@example.com,男,30,1987/12/26,既婚,O型,岐阜県,022-719-3356,090- 222-3876,ドコモ,ぶっかけ・混ぜ混ぜ派
永野 里穂,ながの りほ,nagano_riho@example.com,女,20,1998/7/9,既婚,O型,東京都,081- 31-8017,080-2924-4641,ドコモ,右ルー・せき止め派
藤澤 明,ふじさわ あきら,fujisawa_akira@example.com,男,57,1961/1/11,既婚,A型,埼玉県,099-777-3193,080-9434- 320,ドコモ,別盛り・せき止め派
上山 美幸,かみやま みゆき,kamiyama_miyuki@example.com,女,68,1950/5/28,既婚,B型,奈良県,092-177-1873,090-4917- 723,au,左ルー・せき止め派
桜田 和久,さくらだ かずひさ,sakurada_kazuhisa@example.com,男,41,1977/8/25,既婚,A型,神奈川県,056-529-3774,080-6942-7173,ドコモ,右ルー・混ぜ混ぜ派
福本 芳正,ふくもと よしまさ,fukumoto_yoshimasa@example.com,男,61,1957/4/16,既婚,B型,香川県,086-585-7574,080-5913-1509,ソフトバンク,左ルー・せき止め派
山上 豊,やまがみ ゆたか,yamagami_yutaka@example.com,男,60,1958/3/1,既婚,B型,高知県,074-284-2232,090-2395-5888,au,左ルー・混ぜ混ぜ派
竹原 ひかり,たけはら ひかり,takehara_hikari@example.com,女,37,1981/4/25,既婚,A型,神奈川県,058-647-7357,080-5650-  27,au,奥ルー・混ぜ混ぜ派
奥寺 麻緒,おくでら まお,okudera_mao@example.com,女,65,1953/6/22,既婚,O型,東京都,058-108-6569,090-1401-5732,ドコモ,手前ルー・せき止め派
寺尾 翔太,てらお しょうた,terao_shouta@example.com,男,35,1983/9/13,未婚,O型,北海道,086-992-9550,080-8070-5097,ドコモ,左ルー・混ぜ混ぜ派
大高 光洋,おおだか みつひろ,oodaka_mitsuhiro@example.com,男,52,1966/4/30,既婚,AB型,神奈川県,089-  3-7304,080-6304-7691,ドコモ,手前ルー・せき止め派
進藤 孝太郎,しんどう こうたろう,shinndou_koutarou@example.com,男,71,1946/11/24,既婚,O型,広島県,037-646-3517,090-9473-1175,ドコモ,別盛り・ルー攻め派
池内 昴,いけうち すばる,ikeuchi_subaru@example.com,男,34,1984/5/4,既婚,B型,山梨県,060-345-4541,090-5011-9242,au,ぶっかけ・ナン派
相馬 知史,あいば ともふみ,aiba_tomofumi@example.com,男,25,1993/3/29,未婚,A型,山形県,086- 46-9827,080-4944-3621,ドコモ,奥ルー・せき止め派
石崎 ひろみ,いしざき ひろみ,ishizaki_hiromi@example.com,女,30,1987/11/14,未婚,O型,青森県,020- 58-8786,090-8528-3254,ドコモ,ぶっかけ・ルー攻め派
平田 美幸,ひらた みゆき,hirata_miyuki@example.com,女,37,1981/10/18,既婚,O型,兵庫県,0 7-598-6985,090- 522-4356,ドコモ,左ルー・ルー攻め派
浦田 育子,うらた いくこ,urata_ikuko@example.com,女,35,1982/12/31,既婚,A型,京都府,0 1-576-2964,090-1280- 680,ドコモ,ぶっかけ・せき止め派
大滝 砂羽,おおたき さわ,ootaki_sawa@example.com,女,61,1957/1/3,既婚,A型,北海道,054-853-2504,080-1879-3226,ソフトバンク,左ルー・混ぜ混ぜ派
小倉 哲平,おぐら てっぺい,ogura_teppei@example.com,男,48,1970/9/20,既婚,B型,東京都,040-613-4079,080-1634-5180,ドコモ,手前ルー・ルー攻め派
西本 博明,にしもと ひろあき,nishimoto_hiroaki@example.com,男,35,1983/1/25,既婚,O型,福岡県,022-101-2043,080-9481-2571,ソフトバンク,別盛り・せき止め派
小日向 雅彦,こひなた まさひこ,kohinata_masahiko@example.com,男,34,1984/4/13,既婚,O型,青森県,034-964-3198,080- 368-3413,au,ぶっかけ・ルー攻め派
落合 裕司,おちあい ゆうじ,ochiai_yuuji@example.com,男,70,1948/3/4,既婚,B型,愛知県,020-585-7100,090-8054-1385,ドコモ,左ルー・せき止め派
金児 智花,かねこ ともか,kaneko_tomoka@example.com,女,60,1957/11/17,既婚,B型,千葉県,097-400-1580,090-8306-3848,au,右ルー・ルー攻め派
大路 和久,おおじ かずひさ,ooji_kazuhisa@example.com,男,68,1949/12/13,既婚,A型,埼玉県,083-733-8883,090- 567-9286,ドコモ,左ルー・せき止め派
村山 ひろみ,むらやま ひろみ,murayama_hiromi@example.com,女,73,1945/1/5,既婚,AB型,大阪府,090-783-2258,090- 795-6736,au,左ルー・ルー攻め派
パンツェッタ 璃奈子,ぱんつぇった りなこ,panzetta_rinako@example.com,女,39,1979/7/26,既婚,AB型,福岡県,011-411-7197,080-4832-5777,ソフトバンク,左ルー・せき止め派
臼井 はるか,うすい はるか,usui_haruka@example.com,女,41,1977/4/30,既婚,A型,兵庫県,096-339-9101,090-3981-4662,ソフトバンク,ぶっかけ・せき止め派
海野 誠治,うみの せいじ,umino_seiji@example.com,男,43,1975/10/7,既婚,A型,兵庫県,0 3-164-2874,090-6286-3990,ドコモ,ぶっかけ・せき止め派
岩永 美嘉,いわなが みか,iwanaga_mika@example.com,女,24,1994/10/21,既婚,B型,大分県,051-613-1737,080-8578-4437,ソフトバンク,手前ルー・混ぜ混ぜ派
深沢 南朋,ふかざわ なお,fukazawa_nao@example.com,女,61,1957/6/19,既婚,O型,埼玉県,082- 14-2090,080-9368-2966,ドコモ,左ルー・せき止め派
菊地 秀隆,きくち ひでたか,kikuchi_hidetaka@example.com,男,34,1984/3/6,既婚,A型,埼玉県,037-948-5441,080-7438-2936,au,左ルー・混ぜ混ぜ派
比嘉 正義,ひよし まさよし,hiyoshi_masayoshi@example.com,男,65,1953/9/8,既婚,A型,鳥取県,084-202-3440,090-9460-6597,ドコモ,ぶっかけ・せき止め派
金井 めぐみ,かない めぐみ,kanai_megumi@example.com,女,68,1950/6/21,既婚,B型,愛知県,0 7- 67-3967,090- 336-8818,ドコモ,ぶっかけ・混ぜ混ぜ派
邑野 怜奈,むらの れいな,murano_reina@example.com,女,34,1984/2/6,既婚,O型,熊本県,0 9-752-1598,090-8269-1764,ドコモ,左ルー・せき止め派
野本 季衣,のもと としえ,nomoto_toshie@example.com,女,80,1938/6/11,既婚,A型,静岡県,070-612-1801,090-5715-2177,au,ぶっかけ・ナン派
大場 玲那,おおば れな,ooba_rena@example.com,女,54,1964/4/22,既婚,AB型,神奈川県,013- 43-6938,080-  41-3754,ドコモ,別盛り・混ぜ混ぜ派
細谷 優一,ほそや ゆういち,hosoya_yuuichi@example.com,男,45,1973/8/4,既婚,O型,千葉県,041-821-3541,090-7897-9239,ソフトバンク,右ルー・せき止め派
篠山 雅彦,しのやま まさひこ,shinoyama_masahiko@example.com,男,76,1942/6/28,既婚,B型,北海道,030-448-6289,080- 565-9134,ソフトバンク,奥ルー・ルー攻め派
佐藤 花緑,さとう かろく,satou_karoku@example.com,男,68,1950/10/4,既婚,B型,大阪府,093-851-  39,090-2358-9243,au,左ルー・せき止め派
大井 景子,おおい けいこ,ooi_keiko@example.com,女,39,1978/12/29,既婚,B型,山口県,042- 26-5353,090-6760-  54,ドコモ,ぶっかけ・別口派
石丸 三省,いしまる さんせい,ishimaru_sansei@example.com,男,56,1962/8/11,既婚,A型,兵庫県,0 1-  1-4733,090-6292-1200,ドコモ,右ルー・ルー攻め派
小田 博明,おだ ひろあき,oda_hiroaki@example.com,男,44,1974/5/15,既婚,B型,千葉県,034- 10-8780,090-3892-4047,au,奥ルー・混ぜ混ぜ派
森本 碧海,もりもと おうが,morimoto_ouga@example.com,男,68,1949/11/23,既婚,O型,京都府,045-691-7214,090-4962-  52,ドコモ,奥ルー・混ぜ混ぜ派
小野田 里穂,おのだ りほ,onoda_riho@example.com,女,32,1986/3/8,既婚,O型,徳島県,046-845-7488,090-1433-1673,ドコモ,左ルー・せき止め派
塩谷 陽子,しおや ようこ,shioya_youko@example.com,女,24,1993/11/28,既婚,AB型,神奈川県,026-711-9131,080-2282-1165,au,左ルー・別口派
浅野 遥,あさの はるか,asano_haruka@example.com,女,42,1976/4/6,既婚,B型,新潟県,017-236-3187,090-2647-4244,ドコモ,左ルー・別口派
若山 陽子,わかやま ようこ,wakayama_youko@example.com,女,36,1982/5/30,既婚,AB型,沖縄県,064-979-9378,080-2268-1941,au,左ルー・別口派
鈴木 直人,すずき なおと,suzuki_naoto@example.com,男,40,1978/4/11,既婚,A型,静岡県,075-258-7891,090-9523-7548,ソフトバンク,左ルー・ルー攻め派
吉岡 剛基,よしおか よしき,yoshioka_yoshiki@example.com,男,41,1977/5/28,既婚,O型,神奈川県,014-136-6998,090-5856-9146,ドコモ,別盛り・せき止め派
寺本 サンタマリア,てらもと さんたまりあ,teramoto_stmaria@example.com,女,23,1995/6/24,未婚,A型,大阪府,030- 52-8463,090-5544-7327,au,左ルー・せき止め派
阪口 朝陽,さかぐち あさひ,sakaguchi_asahi@example.com,女,48,1970/10/9,既婚,O型,広島県,018-298-2361,080-3246-7650,ドコモ,右ルー・混ぜ混ぜ派
西尾 知世,にしお ちせ,nishio_chise@example.com,女,76,1941/12/17,既婚,A型,千葉県,0 6-985-1001,080-1762-6095,ドコモ,左ルー・せき止め派
久保 竜也,くぼ たつや,kubo_tatsuya@example.com,男,45,1973/7/2,未婚,A型,大阪府,071- 63-2511,080-5160-6748,ドコモ,手前ルー・せき止め派
亀田 恵望子,かめだ えみこ,kameda_emiko@example.com,女,25,1993/5/16,未婚,A型,愛知県,083- 19- 759,080-1753-6222,au,ぶっかけ・ナン派
菅野 圭,かんの けい,kanno_kei@example.com,男,21,1997/10/12,既婚,B型,長崎県,029-683-7472,080-1575-2342,ドコモ,ぶっかけ・ナン派
瀬戸 美菜,せと みな,seto_mina@example.com,女,47,1971/5/7,既婚,O型,石川県,080-211-9176,090-2455-2348,au,ぶっかけ・せき止め派
長田 勇太,ながた ゆうた,nagata_yuuta@example.com,男,71,1947/9/17,既婚,O型,岩手県,029-108-9111,090-5640-2183,au,ぶっかけ・ルー攻め派
金子 ヒロ,かねこ ひろ,kaneko_hiro@example.com,男,48,1970/7/19,既婚,A型,神奈川県,059-780- 636,080-7084-7628,ドコモ,ぶっかけ・ルー攻め派
杉浦 里奈,すぎうら りな,sugiura_rina@example.com,女,42,1976/10/14,既婚,A型,福島県,061-933-6257,080-2029-9922,au,ぶっかけ・ルー攻め派
馬場 莉沙,ばば りさ,baba_risa@example.com,女,53,1965/7/23,既婚,O型,福島県,072-990-7401,090-4528-8866,ドコモ,ぶっかけ・混ぜ混ぜ派
竹内 なつみ,たけうち なつみ,takeuchi_natsumi@example.com,女,65,1953/8/3,既婚,B型,千葉県,095-692-1370,090-4710-6050,ドコモ,左ルー・別口派
関根 涼,せきね りょう,sekine_ryou@example.com,女,34,1984/6/24,既婚,AB型,群馬県,031-427-3176,080-2959-3561,au,ぶっかけ・ルー攻め派
島田 美咲,しまだ みさき,shimada_misaki@example.com,女,55,1963/6/17,既婚,O型,宮崎県,065-376-  61,090-9183- 928,ソフトバンク,ぶっかけ・せき止め派
曽我 彩華,そが あやか,soga_ayaka@example.com,女,29,1989/5/23,既婚,B型,長野県,049-880-9016,080-5279-2782,ドコモ,ぶっかけ・ルー攻め派
結城 綾,ゆうき あや,yuuki_aya@example.com,女,20,1998/2/6,未婚,A型,奈良県,099- 99-3973,080-3915-5887,ドコモ,左ルー・せき止め派
美輪 季衣,みわ としえ,miwa_toshie@example.com,女,24,1994/10/12,既婚,B型,東京都,074-962-4809,080-2694-1155,ドコモ,左ルー・せき止め派
西原 寿々花,にしはら すずか,nishihara_suzuka@example.com,女,40,1978/7/28,既婚,AB型,群馬県,097-908-8090,080-9808-8733,ドコモ,右ルー・ルー攻め派
児島 法嗣,こじま ほうし,kojima_houshi@example.com,男,76,1942/1/5,既婚,O型,愛知県,090-539-3651,090- 636-3856,ドコモ,ぶっかけ・ナン派
長野 友以乃,ながの ゆいの,nagano_yuino@example.com,女,21,1997/8/24,未婚,B型,愛知県,0 4-357-4086,090-4635-2787,ドコモ,右ルー・別口派
草野 浩正,くさの ひろまさ,kusano_hiromasa@example.com,男,44,1974/8/10,既婚,O型,神奈川県,059-459-6825,090-9326-5315,ドコモ,手前ルー・せき止め派
武内 明,たけうち あきら,takeuchi_akira@example.com,男,20,1998/1/5,未婚,A型,埼玉県,051- 35-6712,090-4709-8109,ドコモ,ぶっかけ・せき止め派
内村 たかお,うちむら たかお,uchimura_takao@example.com,男,57,1961/9/26,既婚,A型,北海道,066-202-4359,090-6912-3707,au,ぶっかけ・ルー攻め派
竹下 窈,たけした よう,takeshita_you@example.com,女,26,1992/3/2,未婚,A型,大阪府,029-465-8216,090- 923-7532,ドコモ,右ルー・ルー攻め派
岡野 まみ,おかの まみ,okano_mami@example.com,女,41,1977/8/12,既婚,O型,群馬県,041-596-5645,080-2572-6040,au,ぶっかけ・せき止め派
中村 まみ,なかむら まみ,nakamura_mami@example.com,女,23,1995/8/30,未婚,B型,大阪府,0 3-169-4021,080-2700-4188,ドコモ,ぶっかけ・せき止め派
三原 景子,みはら けいこ,mihara_keiko@example.com,女,22,1996/1/31,既婚,O型,山梨県,075-301-7615,080-4699-2642,ドコモ,ぶっかけ・せき止め派
伴 綾,ばん あや,ban_aya@example.com,女,38,1980/7/20,既婚,O型,宮崎県,058-541-8989,090-2926-4760,ドコモ,左ルー・せき止め派
梶原 遥,かじわら はるか,kajiwara_haruka@example.com,女,27,1991/4/7,未婚,O型,東京都,091-410-7413,090-5870-5835,ドコモ,ぶっかけ・せき止め派
小出 杏,こいで あん,koide_ann@example.com,女,60,1958/10/6,既婚,O型,千葉県,085-194-7387,090-3101-6463,ドコモ,左ルー・混ぜ混ぜ派
板橋 功補,いたばし こうすけ,itabashi_kousuke@example.com,男,59,1958/11/8,既婚,O型,東京都,082-823- 105,090-8524-7394,au,右ルー・せき止め派
向井 窈,むらい よう,murai_you@example.com,女,59,1959/4/8,既婚,A型,兵庫県,042-972-6546,080-6657-3522,au,左ルー・混ぜ混ぜ派
木戸 ちえみ,きど ちえみ,kido_chiemi@example.com,女,35,1983/10/26,既婚,AB型,静岡県,013-589-4403,090-7658-8965,au,左ルー・ナン派
河合 玲那,かわい れな,kawai_rena@example.com,女,44,1974/5/26,既婚,AB型,千葉県,056-149-9180,090-5479-2116,ソフトバンク,ぶっかけ・混ぜ混ぜ派
石倉 明,いしくら あきら,ishikura_akira@example.com,男,56,1962/3/11,既婚,B型,愛知県,031-759-6017,080-1977-4125,ドコモ,左ルー・ルー攻め派
美木 花,みき はな,miki_hana@example.com,女,40,1977/12/15,既婚,O型,神奈川県,050-921-6655,080-4954-8421,ドコモ,左ルー・せき止め派
江藤 雅功,えとう まさとし,etou_masatoshi1@example.com,男,40,1978/3/19,未婚,A型,兵庫県,020-301-3169,080-9562-9652,ドコモ,ぶっかけ・混ぜ混ぜ派
小平 みゆき,こひら みゆき,kohira_miyuki@example.com,女,64,1954/9/12,既婚,A型,東京都,0 1-150-2683,090-8346-3125,au,左ルー・せき止め派
藤原 薫,ふじわら かおる,fujiwara_kaoru@example.com,女,30,1988/9/19,既婚,A型,東京都,023-637-9732,080-1577-6089,ドコモ,ぶっかけ・せき止め派
喜多 雅之,きた まさゆき,kita_masayuki@example.com,男,43,1975/5/23,既婚,AB型,千葉県,085-707-6365,090- 707-3121,ドコモ,左ルー・混ぜ混ぜ派
長浜 公顕,ながはま きみあき,nagahama_kimiaki@example.com,男,36,1982/1/8,既婚,A型,愛知県,056-195-5939,090-1741-9870,ドコモ,右ルー・混ぜ混ぜ派
成瀬 惇,なるせ じゅん,naruse_jun@example.com,男,39,1979/1/9,未婚,B型,三重県,069-247-7987,090-6971-9275,au,右ルー・別口派
木村 雅功,きむら まさとし,kimura_masatoshi@example.com,男,24,1994/10/24,未婚,B型,長野県,085-948-1311,080-4010-3401,ドコモ,左ルー・ルー攻め派
大野 恭子,おおの きょうこ,oono_kyouko@example.com,女,29,1989/9/7,既婚,O型,広島県,071-265-4163,080-6376-3784,ドコモ,右ルー・せき止め派
影山 薫,かげやま かおる,kageyama_kaoru@example.com,女,69,1949/4/27,既婚,O型,東京都,0 4-138-3976,080-7002-3278,au,ぶっかけ・せき止め派
石倉 涼,いしくら りょう,ishikura_ryou@example.com,女,26,1992/5/6,既婚,O型,福岡県,099-885-7319,080-4043-3443,au,手前ルー・ルー攻め派
井村 正義,いむら まさよし,imura_masayoshi@example.com,男,72,1946/8/29,既婚,B型,神奈川県,0 7-421-6910,090-2540-3456,ドコモ,手前ルー・せき止め派
池畑 聖陽,いけはた まさあき,ikehata_masaaki@example.com,男,65,1953/2/8,既婚,A型,京都府,069-186-6104,080-4386-3681,ソフトバンク,ぶっかけ・ルー攻め派
菅 ひとみ,すが ひとみ,suga_hitomi@example.com,女,62,1956/1/7,既婚,O型,長崎県,015- 14-2837,090-8132-2071,ドコモ,左ルー・ルー攻め派
小町 恵望子,こまち えみこ,komachi_emiko@example.com,女,57,1961/4/30,既婚,AB型,新潟県,059- 41-2686,090-3354-9853,ソフトバンク,手前ルー・別口派
今西 礼子,いまにし れいこ,imanishi_reiko@example.com,女,59,1958/11/18,既婚,B型,埼玉県,083-774-7329,090-6165-9025,au,奥ルー・混ぜ混ぜ派
真鍋 憲一,まなべ けんいち,manabe_kenichi@example.com,男,62,1956/4/27,既婚,O型,大阪府,011-835-1150,090-5812-7382,au,ぶっかけ・混ぜ混ぜ派
大井 未來,おおい みらい,ooi_mirai@example.com,女,59,1959/6/20,既婚,A型,石川県,0 3-990-7658,080- 966-9945,au,左ルー・混ぜ混ぜ派
北条 美佐,ほうじょう みさ,houjou_misa@example.com,女,23,1995/9/12,既婚,A型,千葉県,062-669-2197,080-3413-1075,ドコモ,ぶっかけ・ルー攻め派
本間 研二,ほんま けんじ,honma_kenji@example.com,男,31,1987/9/29,未婚,A型,滋賀県,094-584-5164,080-3132-7322,au,手前ルー・ルー攻め派
滝 菜々美,たき ななみ,taki_nanami@example.com,女,44,1974/6/11,既婚,A型,大阪府,090-600-6753,090-1155-7286,ドコモ,左ルー・混ぜ混ぜ派
太田 英嗣,おおた ひでつぐ,oota_hidetsugu@example.com,男,75,1943/9/17,既婚,O型,岩手県,081-535-1654,080- 919-1958,au,左ルー・ルー攻め派
松尾 麻由子,まつお まゆこ,matsuo_mayuko@example.com,女,50,1968/10/3,既婚,O型,大分県,065-940-7133,080-5457-5415,ドコモ,ぶっかけ・ルー攻め派
中尾 莉緒,なかお りお,nakao_rio@example.com,女,70,1948/8/23,既婚,B型,長野県,026-351-2672,080-1978-6987,ドコモ,奥ルー・混ぜ混ぜ派
金沢 隼士,かねざわ しゅんじ,kanezawa_shunji@example.com,男,44,1974/2/16,既婚,A型,愛知県,015- 53-1312,090-7023-1448,ドコモ,ぶっかけ・せき止め派
寺本 裕司,てらもと ゆうじ,teramoto_yuuji@example.com,男,46,1972/1/1,既婚,B型,鹿児島県,083-814-2565,080-5699- 348,au,左ルー・ルー攻め派
永山 みき,ながやま みき,nagayama_miki@example.com,女,20,1998/2/24,未婚,A型,和歌山県,063-405-1331,090-4039-5271,ドコモ,手前ルー・ナン派
福田 エリカ,ふくだ えりか,fukuda_erika@example.com,女,48,1970/1/24,既婚,O型,福岡県,077-156-7504,090-3674-1730,au,ぶっかけ・ルー攻め派
坂本 窈,さかもと よう,sakamoto_you@example.com,女,59,1959/10/3,既婚,AB型,愛媛県,024-428-  39,090-7596-7560,ドコモ,別盛り・ルー攻め派
寺本 宏,てらもと ひろし,teramoto_hiroshi@example.com,男,62,1956/4/2,既婚,O型,奈良県,047-164-1248,080-7768-2167,ドコモ,ぶっかけ・混ぜ混ぜ派
北川 菜々美,きたかわ ななみ,kitakawa_nanami@example.com,女,67,1951/8/2,既婚,O型,鹿児島県,075-868- 283,080-1462-5548,ドコモ,奥ルー・別口派
石黒 博之,いしぐろ ひろゆき,ishiguro_hiroyuki@example.com,男,54,1964/4/17,既婚,O型,愛知県,0 6-598-3993,080-7451-4145,ソフトバンク,ぶっかけ・せき止め派
日下 誠治,ひのした せいじ,hinoshita_seiji@example.com,男,74,1943/12/7,既婚,O型,福岡県,020-357-9524,080-5385-7110,au,左ルー・混ぜ混ぜ派
小西 真一,こにし しんいち,konishi_shinichi@example.com,男,65,1953/6/28,既婚,A型,京都府,0 9-172- 106,090-8520-7301,au,左ルー・混ぜ混ぜ派
南部 恵梨香,なんぶ えりか,nannbu_erika@example.com,女,75,1943/4/9,既婚,B型,神奈川県,070-544-6350,080-3053-3276,ソフトバンク,右ルー・せき止め派
菅原 浩正,すがわら ひろまさ,sugawara_hiromasa@example.com,男,44,1974/9/3,既婚,O型,埼玉県,086-874-1899,090-7396-2156,ドコモ,別盛り・ルー攻め派
大城 美幸,おおしろ みゆき,ooshiro_miyuki@example.com,女,28,1990/8/9,既婚,A型,大阪府,041-862-8408,090-3659-8215,ドコモ,奥ルー・せき止め派
佐藤 育二,さとう いくじ,satou_ikuji@example.com,男,70,1948/2/9,既婚,B型,福岡県,059-412-9666,090-2194-4615,ドコモ,ぶっかけ・ナン派
北原 優,きたはら ゆう,kitahara_yuu@example.com,女,26,1992/10/19,未婚,A型,神奈川県,059-469-1588,080-4540-8170,ドコモ,左ルー・ルー攻め派
片桐 あさみ,かたぎり あさみ,katagiri_asami@example.com,女,51,1967/9/26,既婚,B型,鹿児島県,054-187-8568,080-3248-3668,au,左ルー・混ぜ混ぜ派
城田 寿々花,しろた すずか,shirota_suzuka@example.com,女,51,1967/7/28,既婚,O型,埼玉県,073-693-4162,080-3905-8018,ドコモ,左ルー・せき止め派
増井 薫,ますい かおる,masui_kaoru@example.com,女,23,1994/11/30,未婚,A型,神奈川県,088-489-1965,090-2039-4883,au,ぶっかけ・ルー攻め派
徳永 あき,とくなが あき,tokunaga_aki@example.com,女,27,1991/10/17,既婚,A型,滋賀県,012-823-2851,090-6834-4467,ツーカー,右ルー・ルー攻め派
安井 なぎさ,やすい なぎさ,yasui_nagisa@example.com,女,21,1997/5/8,未婚,A型,神奈川県,074-439-1513,090-5421-3935,ドコモ,奥ルー・混ぜ混ぜ派
仲村 美月,なかむら みづき,nakamura_miduki@example.com,女,39,1978/12/31,既婚,O型,静岡県,022-595-1504,090-7704-1862,au,左ルー・せき止め派
内山 希,うちやま のぞみ,uchiyama_nozomi@example.com,女,21,1997/7/2,未婚,A型,茨城県,033-434-4188,090-8302-5122,au,ぶっかけ・混ぜ混ぜ派
内野 孝太郎,うちの こうたろう,uchino_koutarou@example.com,男,22,1996/9/9,未婚,B型,福島県,020-491-8565,090-5916-6720,au,ぶっかけ・混ぜ混ぜ派
吉村 薫,よしむら かおる,yoshimura_kaoru@example.com,女,59,1959/2/17,既婚,A型,長崎県,038-774-6822,090-4145- 110,ドコモ,ぶっかけ・ナン派
神田 菜摘,かんだ なつみ,kannda_natsumi@example.com,女,70,1948/1/31,既婚,O型,神奈川県,039- 34-6417,090-9679-8524,ドコモ,ぶっかけ・ナン派
